county_id,county_name,enrollees,total_spend,hospital_snf,physician,outpatient,home_health,hospice,dme,state
48229,TX-Hudspeth County,226,7314.24,3796.78,1653.71,1062.52,506.1,,186.53,TX
48231,TX-Hunt County,9267,11358.03,4564.54,2886.04,1634.98,1507.03,661.55,180.99,TX
48233,TX-Hutchinson County,2616,10381.12,4563.05,2501.11,1558.1,786.13,671.2,313.79,TX
48235,TX-Irion County,204,8546.76,2892.75,1922.6,1933.97,625.2,975.01,196.66,TX
48237,TX-Jack County,980,9705.21,3817.8,2343.83,1293.05,1389.79,737.82,238.61,TX
48239,TX-Jackson County,1573,10107.85,4302.58,2359.27,2085.36,826.35,343.94,189.22,TX
48241,TX-Jasper County,4267,10676.88,4276.81,2519.77,1625.76,1421.25,677.86,222.14,TX
48243,TX-Jeff Davis County,408,6399.06,3200.34,1683.35,787.46,286.89,,109.57,TX
48245,TX-Jefferson County,19126,10691.83,4405.76,2809.73,1430.11,1086.59,721.26,184.36,TX
48247,TX-Jim Hogg County,533,15034.46,5803.24,3989.13,1980.8,2366.63,436.31,210.67,TX
48249,TX-Jim Wells County,3040,13205.1,5155.34,3317.19,1541.34,2035.3,825.27,193.18,TX
48251,TX-Johnson County,11004,11750.75,5465.29,3164.7,1286.37,1083.42,641.61,175.02,TX
48253,TX-Jones County,1355,9973.91,4649.32,1949.55,2032.64,683.14,434.87,241.05,TX
48255,TX-Karnes County,1461,10170.49,4650.26,2527.39,2002.15,425.46,386.21,193.59,TX
48257,TX-Kaufman County,7901,10593.67,4138.18,2907.27,1421.1,1307.48,713.52,183.03,TX
48259,TX-Kendall County,5006,8684.63,3281.85,3266.1,940.71,413.47,609.65,148.2,TX
48261,TX-Kenedy County,34,14069.97,,3864.31,1926.53,,,,TX
48263,TX-Kent County,125,13593.34,7480.06,2389.61,2626.37,791.65,,230.7,TX
48265,TX-Kerr County,10381,8003.28,3079.8,2643.83,1387.52,369.41,363.43,146.87,TX
48267,TX-Kimble County,710,10118.36,4117.19,1942.61,2649.77,925.39,413.6,96.65,TX
48269,TX-King County,20,6424.54,,1772.83,1631.63,,,,TX
48271,TX-Kinney County,545,7190.09,3013.93,2084.49,1292.7,339.93,200.86,254.11,TX
48273,TX-Kleberg County,2093,10411.86,4341.72,2790.71,1292.19,1398.75,301.88,208.81,TX
48275,TX-Knox County,557,11295.6,4841.18,2289.93,2181.29,1172.52,578.09,226.74,TX
48277,TX-Lamar County,7310,10312.6,4347.07,2755.69,1311.55,1289.62,379.7,276.87,TX
48279,TX-Lamb County,1556,8671.36,3724.97,1773.89,1683.3,719.34,574.84,174.2,TX
48281,TX-Lampasas County,2484,9402.41,3991.94,2126.53,1876.66,871.29,333.89,232.1,TX
48283,TX-La Salle County,522,11474.53,5576.6,2487.41,1703.95,1141.74,339.25,182.22,TX
48285,TX-Lavaca County,3948,10508.99,4877.77,2113.08,2343.52,695.64,345.34,144.19,TX
48287,TX-Lee County,1928,10210.82,4534.38,2643.65,1481.35,1005.27,334.5,207.37,TX
48289,TX-Leon County,3127,9722.98,4380.25,2488.26,1606.74,747.4,283.57,224.35,TX
48291,TX-Liberty County,4904,12515.62,5809.71,3025.43,1546.95,1389.97,603.62,213.37,TX
48293,TX-Limestone County,2433,10260.55,4341.46,2120.64,2064.45,964.76,537.44,242.51,TX
48295,TX-Lipscomb County,401,7981.43,3322.94,2316.9,1486.44,336.58,,360.5,TX
48297,TX-Live Oak County,950,10827.34,4867.91,2816.79,1496.46,894.47,559.48,209.08,TX
48299,TX-Llano County,4940,8896.78,3576.18,2535.9,1641.63,708.63,216.95,213.2,TX
48303,TX-Lubbock County,20687,10264.66,4376.07,2254.13,1659.91,1164.49,591.82,213.3,TX
48305,TX-Lynn County,476,10586.68,5499.84,1948.34,1677.76,960.61,,203.05,TX
48307,TX-McCulloch County,1407,9378.25,3778.98,1633.91,2526.61,786.27,437.99,230.1,TX
48309,TX-McLennan County,18671,8211.16,3353.4,1956.83,1501.57,632.5,562.1,193.0,TX
48311,TX-McMullen County,98,10422.93,4947.97,2963.71,1405.32,895.45,,178.35,TX
48313,TX-Madison County,1298,11032.72,5311.64,2594.3,1788.37,926.77,231.58,169.04,TX
48315,TX-Marion County,1728,10218.58,4136.59,2358.74,1406.06,1553.42,482.99,320.9,TX
48317,TX-Martin County,568,13015.06,6675.54,2264.83,2136.14,987.43,910.67,143.84,TX
48319,TX-Mason County,811,7388.81,2315.9,2147.84,1381.53,1114.6,336.61,119.13,TX
48321,TX-Matagorda County,3759,11471.93,5205.73,2597.43,1893.58,1336.06,225.31,177.83,TX
48323,TX-Maverick County,4224,10971.07,5199.28,2913.3,1502.1,738.31,350.77,197.35,TX
48325,TX-Medina County,3605,10317.29,4705.26,2926.54,1188.98,737.97,625.46,161.69,TX
48327,TX-Menard County,447,9300.46,3375.81,1855.43,1959.08,1227.03,685.25,155.53,TX
